wikidata_id,person_id,name,candidate_affiliation,supporting_evidence_count,available_mapped_evidence_count,total_evidence_fields,score_over_total_fields,score_over_available_fields,supporting_evidence_fields,available_mapped_evidence_fields,score_formula,available_score_formula,citizenship_available,citizenship_support,citizenship_candidate_affiliations,native_language_available,native_language_support,native_language_candidate_affiliations,spoken_written_language_available,spoken_written_language_support,spoken_written_language_candidate_affiliations,writing_language_available,writing_language_support,writing_language_candidate_affiliations,birth_place_available,birth_place_support,birth_place_candidate_affiliations,death_place_available,death_place_support,death_place_candidate_affiliations,residence_available,residence_support,residence_candidate_affiliations,work_location_available,work_location_support,work_location_candidate_affiliations
http://www.wikidata.org/entity/Q1003664,Q1003664,François Hanriot,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q1003664,Q1003664,François Hanriot,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q100879781,Q100879781,Marie-Antoinette Fagnan,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q100879781,Q100879781,Marie-Antoinette Fagnan,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q100894221,Q100894221,Adrien François d'Huez,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q100894221,Q100894221,Adrien François d'Huez,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q101111611,Q101111611,Jean Fidel Constant Blanvillain,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French | Italian,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q101111611,Q101111611,Jean Fidel Constant Blanvillain,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French | Italian,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q101111611,Q101111611,Jean Fidel Constant Blanvillain,Italian,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French | Italian,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,Anglophone,2,7,8,0.25,0.2857,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | residence | work_location,2 / 8,2 / 7,True,False,British,False,False,,True,True,Anglophone | French | German,True,True,Anglophone | French | German,True,False,British,True,False,British,True,False,British | France,True,False,British
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,British,5,7,8,0.625,0.7143,citizenship | birth_place | death_place | residence | work_location,citizenship | spoken_written_language | writing_language | birth_place | death_place | residence | work_location,5 / 8,5 / 7,True,True,British,False,False,,True,False,Anglophone | French | German,True,False,Anglophone | French | German,True,True,British,True,True,British,True,True,British | France,True,True,British
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,France,1,7,8,0.125,0.1429,residence,citizenship | spoken_written_language | writing_language | birth_place | death_place | residence | work_location,1 / 8,1 / 7,True,False,British,False,False,,True,False,Anglophone | French | German,True,False,Anglophone | French | German,True,False,British,True,False,British,True,True,British | France,True,False,British
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,French,2,7,8,0.25,0.2857,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | residence | work_location,2 / 8,2 / 7,True,False,British,False,False,,True,True,Anglophone | French | German,True,True,Anglophone | French | German,True,False,British,True,False,British,True,False,British | France,True,False,British
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,German,2,7,8,0.25,0.2857,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | residence | work_location,2 / 8,2 / 7,True,False,British,False,False,,True,True,Anglophone | French | German,True,True,Anglophone | French | German,True,False,British,True,False,British,True,False,British | France,True,False,British
http://www.wikidata.org/entity/Q102179180,Q102179180,Françoise Masquière,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q102179180,Q102179180,Françoise Masquière,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Anglophone,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,True,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,False,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Austrian/Habsburg,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,False,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,True,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,True,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,False,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,German,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,True,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,False,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Germany,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,False,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,True,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Hungarian,3,4,8,0.375,0.75,citizenship | spoken_written_language | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,Hungarian,False,False,,True,True,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,True,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Ottoman,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Hungarian,False,False,,True,False,Anglophone | French | German | Hungarian | Slovak,False,False,,True,False,Slovak,True,True,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,Slovak,2,4,8,0.25,0.5,spoken_written_language | birth_place,citizenship | spoken_written_language | birth_place | death_place,2 / 8,2 / 4,True,False,Hungarian,False,False,,True,True,Anglophone | French | German | Hungarian | Slovak,False,False,,True,True,Slovak,True,False,Austrian/Habsburg | Germany | Hungarian | Ottoman,False,False,,False,False,
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,Austrian/Habsburg,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,Danish,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,France,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,French,1,6,8,0.125,0.1667,spoken_written_language,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,True,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,False,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,German,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,Germany,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,Italian,1,6,8,0.125,0.1667,work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 6,True,False,Swedish,True,False,Swedish,True,False,French | Swedish,False,False,,True,False,Swedish,True,False,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,Swedish,6,6,8,0.75,1.0,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,citizenship | native_language | spoken_written_language | birth_place | death_place | work_location,6 / 8,6 / 6,True,True,Swedish,True,True,Swedish,True,True,French | Swedish,False,False,,True,True,Swedish,True,True,Swedish,False,False,,True,True,Austrian/Habsburg | Danish | France | German | Germany | Italian | Swedish
http://www.wikidata.org/entity/Q104007434,Q104007434,Pierre-Romain Nicolas de Lisleferme,France,3,3,8,0.375,1.0,citizenship | birth_place | death_place,citizenship | birth_place | death_place,3 / 8,3 / 3,True,True,France,False,False,,False,False,,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q104092014,Q104092014,Jean-Louis Boucharlat,France,4,6,8,0.5,0.6667,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,4 / 8,4 / 6,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,True,True,France
http://www.wikidata.org/entity/Q104092014,Q104092014,Jean-Louis Boucharlat,French,2,6,8,0.25,0.3333,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,2 / 8,2 / 6,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,True,False,France
http://www.wikidata.org/entity/Q1041076,Q1041076,Karl Wilhelm Ettinger,French,1,5,8,0.125,0.2,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,Germany,False,False,,True,True,French | German,False,False,,True,False,German | Germany,True,False,German | Germany,False,False,,True,False,German | Germany
http://www.wikidata.org/entity/Q1041076,Q1041076,Karl Wilhelm Ettinger,German,4,5,8,0.5,0.8,spoken_written_language | birth_place | death_place | work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,4 / 8,4 / 5,True,False,Germany,False,False,,True,True,French | German,False,False,,True,True,German | Germany,True,True,German | Germany,False,False,,True,True,German | Germany
http://www.wikidata.org/entity/Q1041076,Q1041076,Karl Wilhelm Ettinger,Germany,4,5,8,0.5,0.8,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,4 / 8,4 / 5,True,True,Germany,False,False,,True,False,French | German,False,False,,True,True,German | Germany,True,True,German | Germany,False,False,,True,True,German | Germany
http://www.wikidata.org/entity/Q1041329,Q1041329,Joseph-François Michaud,France,4,6,8,0.5,0.6667,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,4 / 8,4 / 6,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,True,True,France
http://www.wikidata.org/entity/Q1041329,Q1041329,Joseph-François Michaud,French,2,6,8,0.25,0.3333,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,2 / 8,2 / 6,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,True,False,France
http://www.wikidata.org/entity/Q104161502,Q104161502,Nicolas-Michel Linant,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q104161502,Q104161502,Nicolas-Michel Linant,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q1041845,Q1041845,Carlo Antonio Bertinazzi,France,2,3,8,0.25,0.6667,birth_place | death_place,spoken_written_language | birth_place | death_place,2 / 8,2 / 3,False,False,,False,False,,True,False,French,False,False,,True,True,France | Italian,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q1041845,Q1041845,Carlo Antonio Bertinazzi,French,1,3,8,0.125,0.3333,spoken_written_language,spoken_written_language | birth_place | death_place,1 / 8,1 / 3,False,False,,False,False,,True,True,French,False,False,,True,False,France | Italian,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q1041845,Q1041845,Carlo Antonio Bertinazzi,Italian,1,3,8,0.125,0.3333,birth_place,spoken_written_language | birth_place | death_place,1 / 8,1 / 3,False,False,,False,False,,True,False,French,False,False,,True,True,France | Italian,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q104188683,Q104188683,Pierre Paul Raboteau,France,3,3,8,0.375,1.0,citizenship | birth_place | death_place,citizenship | birth_place | death_place,3 / 8,3 / 3,True,True,France,False,False,,False,False,,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q104628323,Q104628323,Jean-Laurent Garcin,French,2,5,8,0.25,0.4,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 5,True,False,Swiss,False,False,,True,True,French,True,True,French,True,False,Swiss,True,False,Swiss,False,False,,False,False,
http://www.wikidata.org/entity/Q104628323,Q104628323,Jean-Laurent Garcin,Swiss,3,5,8,0.375,0.6,citizenship | birth_place | death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 5,True,True,Swiss,False,False,,True,False,French,True,False,French,True,True,Swiss,True,True,Swiss,False,False,,False,False,
http://www.wikidata.org/entity/Q104904902,Q104904902,Louis-Thomas Nuirate,France,3,3,8,0.375,1.0,citizenship | birth_place | death_place,citizenship | birth_place | death_place,3 / 8,3 / 3,True,True,France,False,False,,False,False,,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q105886632,Q105886632,Antoinette-Charlotte Le Duc de La Bouëre,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q105886632,Q105886632,Antoinette-Charlotte Le Duc de La Bouëre,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q1063337,Q1063337,Charles-Antoine Leclerc de La Bruère,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q1063337,Q1063337,Charles-Antoine Leclerc de La Bruère,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q1063337,Q1063337,Charles-Antoine Leclerc de La Bruère,Italian,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,False,French,False,False,,True,False,France,True,True,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q1063413,Q1063413,Charles-Joseph Panckoucke,France,4,6,8,0.5,0.6667,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,4 / 8,4 / 6,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,True,True,France
http://www.wikidata.org/entity/Q1063413,Q1063413,Charles-Joseph Panckoucke,French,2,6,8,0.25,0.3333,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place | work_location,2 / 8,2 / 6,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,True,False,France
http://www.wikidata.org/entity/Q1063422,Q1063422,Charles-Nicolas-Joseph-Justin Favart,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q1063422,Q1063422,Charles-Nicolas-Joseph-Justin Favart,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q1065745,Q1065745,Charles Paul Landon,France,4,5,8,0.5,0.8,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,4 / 8,4 / 5,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,True,True,France | Italian
http://www.wikidata.org/entity/Q1065745,Q1065745,Charles Paul Landon,French,1,5,8,0.125,0.2,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,True,False,France | Italian
http://www.wikidata.org/entity/Q1065745,Q1065745,Charles Paul Landon,Italian,1,5,8,0.125,0.2,work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,France,False,False,,True,False,French,False,False,,True,False,France,True,False,France,False,False,,True,True,France | Italian
http://www.wikidata.org/entity/Q106596262,Q106596262,Charles Gaignard,France,2,4,8,0.25,0.5,citizenship | birth_place,citizenship | spoken_written_language | birth_place | death_place,2 / 8,2 / 4,True,True,France,False,False,,True,False,French | Hebrew,False,False,,True,True,France,True,False,Spanish,False,False,,False,False,
http://www.wikidata.org/entity/Q106596262,Q106596262,Charles Gaignard,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French | Hebrew,False,False,,True,False,France,True,False,Spanish,False,False,,False,False,
http://www.wikidata.org/entity/Q106596262,Q106596262,Charles Gaignard,Hebrew,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French | Hebrew,False,False,,True,False,France,True,False,Spanish,False,False,,False,False,
http://www.wikidata.org/entity/Q106596262,Q106596262,Charles Gaignard,Spanish,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,False,French | Hebrew,False,False,,True,False,France,True,True,Spanish,False,False,,False,False,
http://www.wikidata.org/entity/Q106603853,Q106603853,Jean Bisch,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q106603853,Q106603853,Jean Bisch,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q106618378,Q106618378,Dominique Aubertin,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q106618378,Q106618378,Dominique Aubertin,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q106648902,Q106648902,Marie-Magdeleine de Bonafons,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q106648902,Q106648902,Marie-Magdeleine de Bonafons,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q106839432,Q106839432,Jean-Charles Le Vacher de Charnois,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q106839432,Q106839432,Jean-Charles Le Vacher de Charnois,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q107439020,Q107439020,Joseph Grillet-Desprades,France,2,2,8,0.25,1.0,citizenship | birth_place,citizenship | birth_place,2 / 8,2 / 2,True,True,France,False,False,,False,False,,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q107469819,Q107469819,Théophile de Fernig,France,2,4,8,0.25,0.5,citizenship | birth_place,citizenship | spoken_written_language | birth_place | death_place,2 / 8,2 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,False,Low Countries,False,False,,False,False,
http://www.wikidata.org/entity/Q107469819,Q107469819,Théophile de Fernig,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,Low Countries,False,False,,False,False,
http://www.wikidata.org/entity/Q107469819,Q107469819,Théophile de Fernig,Low Countries,1,4,8,0.125,0.25,death_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,False,French,False,False,,True,False,France,True,True,Low Countries,False,False,,False,False,
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,Dutch,3,3,8,0.375,1.0,spoken_written_language | birth_place | death_place,spoken_written_language | birth_place | death_place,3 / 8,3 / 3,False,False,,False,False,,True,True,Dutch | French | German,False,False,,True,True,Dutch,True,True,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,French,1,3,8,0.125,0.3333,spoken_written_language,spoken_written_language | birth_place | death_place,1 / 8,1 / 3,False,False,,False,False,,True,True,Dutch | French | German,False,False,,True,False,Dutch,True,False,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,German,1,3,8,0.125,0.3333,spoken_written_language,spoken_written_language | birth_place | death_place,1 / 8,1 / 3,False,False,,False,False,,True,True,Dutch | French | German,False,False,,True,False,Dutch,True,False,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107637452,Q107637452,Bruno Zweerts,Dutch,4,4,8,0.5,1.0,citizenship | spoken_written_language | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,4 / 8,4 / 4,True,True,Dutch,False,False,,True,True,Dutch | French,False,False,,True,True,Dutch | France | German | Low Countries,True,True,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107637452,Q107637452,Bruno Zweerts,France,1,4,8,0.125,0.25,birth_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Dutch,False,False,,True,False,Dutch | French,False,False,,True,True,Dutch | France | German | Low Countries,True,False,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107637452,Q107637452,Bruno Zweerts,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Dutch,False,False,,True,True,Dutch | French,False,False,,True,False,Dutch | France | German | Low Countries,True,False,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107637452,Q107637452,Bruno Zweerts,German,1,4,8,0.125,0.25,birth_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Dutch,False,False,,True,False,Dutch | French,False,False,,True,True,Dutch | France | German | Low Countries,True,False,Dutch,False,False,,False,False,
http://www.wikidata.org/entity/Q107637452,Q107637452,Bruno Zweerts,Low Countries,1,4,8,0.125,0.25,birth_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,Dutch,False,False,,True,False,Dutch | French,False,False,,True,True,Dutch | France | German | Low Countries,True,False,Dutch,False,False,,False,False,
